"user_id","username","user_level","user_vip","review_id","review_content","review_push_time","review_likes","score_in_review","id"
"407046518","doy冬日","5","0","49164879","说实话有点奇怪后面有点剧情杀","4月26日","1","6","25"
"564730896","白木垅子","5","0","49034553","每一个人都很悲壮，很好的作品，全班一起看，很感触我们中国走过的时期有多什么艰难","3月24日","0","10","25"
"20232044","包包包的包zi","5","1","49033846","好","3月24日","0","10","25"
"0","AFI_ASS","4","0","49026261","小场面更能映射大场面","3月22日","1","10","25"
"362057805","Mako_Neko","6","1","49019142","立意不错，但煽情情节过多，过于拖沓。致敬最可爱的人！","3月21日","0","6","25"
"318858708","女少な芽羽","6","1","48997789","这部电影除了最后主角残血开大，还有什么情节可言吗","3月15日","0","2","25"
"1104702537","11147--","4","1","48976914","很好，这部电影完全配得上一个好字","3月11日","0","10","25"
"230197956","未来蔚莱","5","1","48961436","好","3月7日","0","10","25"
"33378637","微笑男孩不吃辣","6","1","48930219","不听命令非要丢血包，害队友。有战斗经验的班长让胖子扛着钢板送，胖子被打了那么多枪却组织不起来反击。","3月1日","2","4","25"
"514789316","佳庄是美女的妹妹","4","1","48905250","我心中最喜欢的志愿军电影，","2月24日","0","10","25"
"39854350","月老庙拆迁大队长","6","1","48896277","满分！","2月22日","0","10","25"
"496228761","账号已注销","0","1","48777247","一般，明明有那莫多牛逼的原型故事，非要自己虚构一个不论不类的，大概能给个7分","2月12日","2","6","25"
"279378709","工藤新一yyds","4","0","48782379","学校社团看了一遍，东方绿舟看了一遍","2月13日","0","10","25"
"1957804102","勒逃","4","1","48717094","致敬中国英雄","2月3日","0","10","25"
"399263411","天天爱洗澡的艺术家i","5","1","48648721","很好的电影","1月23日","0","10","25"
"358558505","独家冠名旺仔","5","1","48599464","致敬","1月12日","0","10","25"
"19178333","白纸黑字yzy","6","1","48498638","平庸","2024年12月15日","3","4","25"
"600319879","Book_Fu","4","1","48492397","好看","2024年12月14日","0","10","25"
